            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2459102.034000000, A.D. 2020-Sep-09 12:48:57.6000,  1.839674395145473E-02,  1.457241686030532E-03,  3.252060192111024E+00,  3.436558443943699E+02,  1.727805054821344E+01,  2.459102151344370E+06,  5.324330998308155E+02,  2.975219733700705E+02,  2.956327011964807E+02,  1.484552620471813E-03,  1.511863554913094E-03,  6.761412844437970E-01,
2459112.992000000, A.D. 2020-Sep-20 11:48:28.8000,  2.018810812225407E-02,  1.458260140117158E-03,  3.285186697389970E+00,  3.393012687917443E+02,  3.964762980929446E+01,  2.459112977348164E+06,  5.304201231759725E+02,  7.771628877714012E+00,  8.092468655530023E+00,  1.488306227149884E-03,  1.518352314182609E-03,  6.787072817758955E-01,
2459123.950000000, A.D. 2020-Oct-01 10:48:00.0000,  1.787891761108774E-02,  1.459618725135141E-03,  3.279581882604111E+00,  3.348350462767259E+02,  6.314478895328674E+01,  2.459123805086511E+06,  5.315533404503691E+02,  7.702924941241001E+01,  7.903540065258890E+01,  1.486190197225747E-03,  1.512761669316353E-03,  6.772603473716916E-01,
2459134.908000000, A.D. 2020-Oct-12 09:47:31.2000,  1.537457793753816E-02,  1.464054033600377E-03,  3.231063711655763E+00,  3.304925202508501E+02,  7.751535183746124E+01,  2.459134615647604E+06,  5.311648761728547E+02,  1.552873240799971E+02,  1.560112092257844E+02,  1.486914719847139E-03,  1.509775406093901E-03,  6.777556577043824E-01,
2459145.866000000, A.D. 2020-Oct-23 08:47:02.4000,  1.652768003879355E-02,  1.460507215325671E-03,  3.146610968772341E+00,  3.261811127147752E+02,  8.793192119537200E+01,  2.459146096279263E+06,  5.321647350081474E+02,  2.374534971190227E+02,  2.358747534047437E+02,  1.485051674238561E-03,  1.509596133151451E-03,  6.764822550567700E-01,
2459156.824000000, A.D. 2020-Nov-03 07:46:33.6000,  1.962992205105980E-02,  1.458695433579748E-03,  3.020415082718052E+00,  3.221075248430455E+02,  1.046438098630945E+02,  2.459156912330309E+06,  5.306358364162529E+02,  3.131287724034884E+02,  3.114593481487975E+02,  1.487902850555707E-03,  1.517110267531665E-03,  6.784313747660288E-01,
2459167.782000000, A.D. 2020-Nov-14 06:46:04.8000,  2.015043348593067E-02,  1.457399315738996E-03,  2.864461818828654E+00,  3.182573544390896E+02,  1.282694706047739E+02,  2.459167741363472E+06,  5.309207578843829E+02,  2.157477650240096E+01,  2.244416815063043E+01,  1.487370475576027E-03,  1.517341635413059E-03,  6.780672909353379E-01,
2459178.740000000, A.D. 2020-Nov-25 05:45:36.0000,  1.709993115290731E-02,  1.458911755662621E-03,  2.671680261848045E+00,  3.147824663510357E+02,  1.493121995845320E+02,  2.459178566587701E+06,  5.325727643264130E+02,  9.235466780308829E+01,  9.431042332215478E+01,  1.484293064882855E-03,  1.509674374103089E-03,  6.759639698348460E-01,
2459189.698000000, A.D. 2020-Dec-06 04:45:07.2000,  1.446600529374468E-02,  1.467253530231832E-03,  2.456285166496135E+00,  3.118974255344791E+02,  1.617453982811021E+02,  2.459189375291978E+06,  5.301614063637812E+02,  1.710873387258791E+02,  1.713396499633894E+02,  1.488790379746522E-03,  1.510327229261211E-03,  6.790384884277648E-01,
2459200.656000000, A.D. 2020-Dec-17 03:44:38.4000,  1.626505450625795E-02,  1.462157966356201E-03,  2.216263696828475E+00,  3.097680343704963E+02,  1.706449415755433E+02,  2.459200858153954E+06,  5.314765987432679E+02,  2.525599040523503E+02,  2.507927972873392E+02,  1.486333257808927E-03,  1.510508549261653E-03,  6.773581392882728E-01,
