            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2459069.160000000, A.D. 2020-Aug-07 15:50:24.0000,  4.933306493653537E-03,  8.548349670530935E-04,  2.203442645553968E+00,  3.376884297139453E+02,  9.667215868066621E+01,  2.459069155402552E+06,  1.209520705213988E+03,  5.560708592572920E+00,  5.615826058732724E+00,  8.590730376482465E-04,  8.633111082433996E-04,  2.976385591814311E-01,
2459080.118000000, A.D. 2020-Aug-18 14:49:55.2000,  7.086984753777988E-03,  8.564188227136092E-04,  2.210582064542091E+00,  3.381116276280145E+02,  1.705805639685396E+02,  2.459080123136786E+06,  1.202253195065228E+03,  3.538242820281949E+02,  3.537361410118816E+02,  8.625315708055604E-04,  8.686443188975116E-04,  2.994377569364398E-01,
2459091.076000000, A.D. 2020-Aug-29 13:49:26.4000,  6.162700553525047E-03,  8.548898826568136E-04,  2.226436530737781E+00,  3.378988888326339E+02,  2.087037441614162E+02,  2.459091060855315E+06,  1.207163546941357E+03,  1.828211193444382E+01,  1.850527329553305E+01,  8.601909820983281E-04,  8.654920815398425E-04,  2.982197407403061E-01,
2459102.034000000, A.D. 2020-Sep-09 12:48:57.6000,  6.278045425736786E-03,  8.550275421190416E-04,  2.216810774689876E+00,  3.374993299937236E+02,  2.951398051005716E+02,  2.459102038228510E+06,  1.206661930154924E+03,  3.548976181112442E+02,  3.548331329132134E+02,  8.604293567060796E-04,  8.658311712931178E-04,  2.983437125208544E-01,
2459112.992000000, A.D. 2020-Sep-20 11:48:28.8000,  7.558645990368823E-03,  8.554371556129060E-04,  2.202451562436451E+00,  3.377812023387988E+02,  3.421618270690332E+02,  2.459112983697761E+06,  1.203465250086663E+03,  9.991456499156145E+00,  1.014314666525866E+01,  8.619523482740770E-04,  8.684675409352480E-04,  2.991361819330272E-01,
2459123.950000000, A.D. 2020-Oct-01 10:48:00.0000,  6.776809105690057E-03,  8.547416717412769E-04,  2.214229727902698E+00,  3.381283349020804E+02,  5.392817321608576E+01,  2.459123949629603E+06,  1.206358533363100E+03,  4.468316146925581E-01,  4.529394587070416E-01,  8.605736148505127E-04,  8.664055579597485E-04,  2.984187453761262E-01,
2459134.908000000, A.D. 2020-Oct-12 09:47:31.2000,  7.013093558672305E-03,  8.548760177428480E-04,  2.226872978346931E+00,  3.378075865019750E+02,  1.152503307102479E+02,  2.459134906402493E+06,  1.205643815059814E+03,  1.926024586276719E+00,  1.953272928325942E+00,  8.609136859684864E-04,  8.669513541941249E-04,  2.985956511394203E-01,
2459145.866000000, A.D. 2020-Oct-23 08:47:02.4000,  7.665858813628267E-03,  8.555055600119604E-04,  2.213605746450487E+00,  3.374936229982222E+02,  1.867327567845258E+02,  2.459145871554659E+06,  1.203125927451541E+03,  3.533170459600160E+02,  3.532138351193447E+02,  8.621144073398223E-04,  8.687232546676842E-04,  2.992205485609900E-01,
2459156.824000000, A.D. 2020-Nov-03 07:46:33.6000,  6.487672535054376E-03,  8.550332568303328E-04,  2.202484970880068E+00,  3.378647878401442E+02,  2.368725582247050E+02,  2.459156819670421E+06,  1.206268036182125E+03,  5.222632686051707E+00,  5.290855108781202E+00,  8.606166558718430E-04,  8.662000549133531E-04,  2.984411334809227E-01,
2459167.782000000, A.D. 2020-Nov-14 06:46:04.8000,  6.593037953604106E-03,  8.551124496589686E-04,  2.217455026385843E+00,  3.381240738118933E+02,  3.216793480490796E+02,  2.459167796255776E+06,  1.205908607905723E+03,  3.428088369982355E+02,  3.425837681089045E+02,  8.607876553406230E-04,  8.664628610222775E-04,  2.985300856465439E-01,
