            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2459058.202000000, A.D. 2020-Jul-27 16:50:52.8000,  1.853900910421023E-02,  6.940369531850952E-01,  3.421353057026042E+00,  7.657076590514642E+01,  9.059840019250791E+01,  2.458954721341827E+06,  1.658552927381795E+00,  1.716281485393462E+02,  1.719305169005003E+02,  7.071467532822066E-01,  7.202565533793180E-01,  2.170566848103539E+02,
2459069.160000000, A.D. 2020-Aug-07 15:50:24.0000,  1.528205906705251E-02,  6.994347981289587E-01,  3.421177159311391E+00,  7.670795605276399E+01,  1.136534928803745E+02,  2.458968500174575E+06,  1.647557519023211E+00,  1.658428522434677E+02,  1.662633650972829E+02,  7.102894839778140E-01,  7.211441698266693E-01,  2.185052696754609E+02,
2459080.118000000, A.D. 2020-Aug-18 14:49:55.2000,  1.103404904877607E-02,  7.066257077874724E-01,  3.418546815390409E+00,  7.683878925796908E+01,  1.408031057508901E+02,  2.458984582528715E+06,  1.632982467334623E+00,  1.560077496165459E+02,  1.565154672230410E+02,  7.145096422256133E-01,  7.223935766637543E-01,  2.204555206202533E+02,
2459091.076000000, A.D. 2020-Aug-29 13:49:26.4000,  6.660631374742547E-03,  7.146966948372337E-01,  3.413673826789725E+00,  7.695117968351117E+01,  1.813891359981658E+02,  2.459008898977009E+06,  1.616059975418118E+00,  1.328029977543798E+02,  1.333598318644976E+02,  7.194889454812868E-01,  7.242811961253400E-01,  2.227640096753577E+02,
2459102.034000000, A.D. 2020-Sep-09 12:48:57.6000,  5.093837032745038E-03,  7.211352282547498E-01,  3.406980206343985E+00,  7.703446868655571E+01,  2.572431704355620E+02,  2.459055474097274E+06,  1.598239193795042E+00,  7.441386139548052E+01,  7.497706208288521E+01,  7.248273808094648E-01,  7.285195333641800E-01,  2.252478861722662E+02,
2459112.992000000, A.D. 2020-Sep-20 11:48:28.8000,  8.411419953364209E-03,  7.239257001585739E-01,  3.399064961641142E+00,  7.708041673484345E+01,  3.165262714695613E+02,  2.459092316592386E+06,  1.581065802322774E+00,  3.268917992854278E+01,  3.321439095687682E+01,  7.300665968990150E-01,  7.362074936394561E-01,  2.276945080154900E+02,
2459123.950000000, A.D. 2020-Oct-01 10:48:00.0000,  1.267355599351916E-02,  7.254150729151942E-01,  3.390653393569617E+00,  7.708405287793536E+01,  3.493144430165496E+02,  2.459112740499962E+06,  1.566047582808117E+00,  1.755461043985330E+01,  1.799934903725345E+01,  7.347266725395563E-01,  7.440382721639183E-01,  2.298780726409829E+02,
2459134.908000000, A.D. 2020-Oct-12 09:47:31.2000,  1.615525462639760E-02,  7.264268594335918E-01,  3.382531944640231E+00,  7.704428726886572E+01,  1.463232698199604E+01,  2.459128489073066E+06,  1.554517723278921E+00,  9.978335682898216E+00,  1.030561557517783E+01,  7.383551752952043E-01,  7.502834911568168E-01,  2.315830785387621E+02,
2459145.866000000, A.D. 2020-Oct-23 08:47:02.4000,  1.825972982144669E-02,  7.270597479104642E-01,  3.375473720248568E+00,  7.696418669252152E+01,  3.755613571249975E+01,  2.459142720024017E+06,  1.547509839765892E+00,  4.868428789874313E+00,  5.050135570123170E+00,  7.405825858383407E-01,  7.541054237662171E-01,  2.326318002956678E+02,
2459156.824000000, A.D. 2020-Nov-03 07:46:33.6000,  1.870961078265370E-02,  7.273066097710399E-01,  3.370161888395837E+00,  7.685083222765758E+01,  5.977650049588225E+01,  2.459156493215211E+06,  1.545658972035978E+00,  5.112804767469199E-01,  5.308696104204192E-01,  7.411736808623207E-01,  7.550407519536014E-01,  2.329103680133267E+02,
