            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2459134.908000000, A.D. 2020-Oct-12 09:47:31.2000,  1.468634482137830E-03,  2.911414111941410E-03,  9.777675773546629E+01,  1.676271418280705E+02,  2.762376370018767E+02,  2.459136509421444E+06,  4.136367720582190E+01,  2.937593203099738E+02,  2.936051768973962E+02,  2.915696203925933E-03,  2.919978295910457E-03,  8.703288109726625E+00,
2459145.866000000, A.D. 2020-Oct-23 08:47:02.4000,  2.325906300503020E-03,  2.909402498431788E-03,  9.777659125885816E+01,  1.676272135175873E+02,  2.665476928002979E+02,  2.459144982263824E+06,  4.135327209988921E+01,  3.654538256324471E+01,  3.670446120449095E+01,  2.916185272129669E-03,  2.922968045827549E-03,  8.705477988063839E+00,
2459156.824000000, A.D. 2020-Nov-03 07:46:33.6000,  2.207398836496896E-03,  2.909510761609915E-03,  9.777654232052259E+01,  1.676272197163328E+02,  2.682217974739218E+02,  2.459153728538800E+06,  4.135833193471056E+01,  1.280231117934767E+02,  1.282220371822958E+02,  2.915947420553330E-03,  2.922384079496745E-03,  8.704412947995731E+00,
2459167.782000000, A.D. 2020-Nov-14 06:46:04.8000,  2.581014586206962E-03,  2.908296434445967E-03,  9.777644634294057E+01,  1.676273835868074E+02,  2.513265236002684E+02,  2.459170731082057E+06,  4.136099587551146E+01,  2.380230292063755E+02,  2.377725741645300E+02,  2.915822214111374E-03,  2.923347993776781E-03,  8.703852322210274E+00,
2459178.740000000, A.D. 2020-Nov-25 05:45:36.0000,  2.724411239882125E-03,  2.908444392983372E-03,  9.777639846900685E+01,  1.676273915396941E+02,  2.524028728976606E+02,  2.459179463051177E+06,  4.134892117455733E+01,  3.301026138742102E+02,  3.299465405457086E+02,  2.916389838238547E-03,  2.924335283493722E-03,  8.706394018848401E+00,
2459189.698000000, A.D. 2020-Dec-06 04:45:07.2000,  2.349941148631999E-03,  2.908931497321610E-03,  9.777635035322594E+01,  1.676274406073288E+02,  2.325190918646886E+02,  2.459187689427439E+06,  4.136182140118466E+01,  8.307821952454312E+01,  8.334563399270279E+01,  2.915783416753138E-03,  2.922635336184665E-03,  8.703678605161453E+00,
2459200.656000000, A.D. 2020-Dec-17 03:44:38.4000,  2.355327144208985E-03,  2.909807442363525E-03,  9.777631707187889E+01,  1.676274504863258E+02,  2.326272057728740E+02,  2.459196395773489E+06,  4.134281116419154E+01,  1.761297401746724E+02,  1.761479044063775E+02,  2.916677171275926E-03,  2.923546900188327E-03,  8.707680727618461E+00,
2459211.614000000, A.D. 2020-Dec-28 02:44:09.6000,  2.128676285376153E-03,  2.910292691383137E-03,  9.777624231305585E+01,  1.676274971277606E+02,  2.300931301347086E+02,  2.459213746954655E+06,  4.134655766122708E+01,  2.718096673614978E+02,  2.715658409351954E+02,  2.916500977850965E-03,  2.922709264318792E-03,  8.706891706672634E+00,
2459222.572000000, A.D. 2021-Jan-08 01:43:40.8000,  1.691004043307500E-03,  2.911697471662081E-03,  9.777609434284260E+01,  1.676275209414386E+02,  2.194791105212732E+02,  2.459222196403578E+06,  4.134382468483185E+01,  1.552859260960153E+01,  1.558057569956026E+01,  2.916629503946084E-03,  2.921561536230087E-03,  8.707467263716318E+00,
2459233.530000000, A.D. 2021-Jan-19 00:43:12.0000,  1.590983890348214E-03,  2.911039360697204E-03,  9.777604695524526E+01,  1.676275204183179E+02,  2.171227319585324E+02,  2.459230845534333E+06,  4.136406122991104E+01,  1.110404022222738E+02,  1.112104385996037E+02,  2.915678157675506E-03,  2.920316954653807E-03,  8.703207308369370E+00,
