            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2459058.202000000, A.D. 2020-Jul-27 16:50:52.8000,  1.091914278540702E-03,  3.515352282127980E-03,  2.794075412373534E+01,  1.701820485041768E+02,  2.105477860165147E+02,  2.459060100104196E+06,  7.982384424920447E+01,  2.084860263378697E+02,  2.084264205890988E+02,  3.519194941333389E-03,  3.523037600538799E-03,  4.509930627696972E+00,
2459069.160000000, A.D. 2020-Aug-07 15:50:24.0000,  3.764876229695121E-04,  3.520434049756527E-03,  2.794317562035798E+01,  1.701814670580284E+02,  1.722931775120228E+02,  2.459068658138242E+06,  7.973665284229162E+01,  4.001677680109881E+01,  4.004452781600124E+01,  3.521759948788315E-03,  3.523085847820104E-03,  4.514862201602964E+00,
2459080.118000000, A.D. 2020-Aug-18 14:49:55.2000,  3.562699480994299E-04,  3.526769122862578E-03,  2.794460010992388E+01,  1.701820054135876E+02,  7.225467723137655E+01,  2.459080956931789E+06,  7.952431758149341E+01,  2.932845219870184E+02,  2.932470149668147E+02,  3.528026052521203E-03,  3.529282982179827E-03,  4.526917186445342E+00,
2459091.076000000, A.D. 2020-Aug-29 13:49:26.4000,  1.142259258784202E-03,  3.520730315998680E-03,  2.794625329949314E+01,  1.701843269379013E+02,  1.510743191422743E+02,  2.459090979422819E+06,  7.963499292051397E+01,  7.690923079921223E+00,  7.708465240256241E+00,  3.524756501747761E-03,  3.528782687496842E-03,  4.520625755053769E+00,
2459102.034000000, A.D. 2020-Sep-09 12:48:57.6000,  1.487092293405527E-03,  3.513670851966934E-03,  2.794796222960871E+01,  1.701845401192908E+02,  1.540204051441491E+02,  2.459100054935200E+06,  7.983375141065380E+01,  1.579961672947967E+02,  1.580599040395197E+02,  3.518903786669325E-03,  3.524136721371716E-03,  4.509370957005511E+00,
2459112.992000000, A.D. 2020-Sep-20 11:48:28.8000,  1.163059448198568E-03,  3.518780590116388E-03,  2.795014774128343E+01,  1.701854207202089E+02,  1.817267798457059E+02,  2.459113951196018E+06,  7.969870014857797E+01,  2.835533242283439E+02,  2.834237148463984E+02,  3.522877906550452E-03,  3.526975222984516E-03,  4.517012188766837E+00,
2459123.950000000, A.D. 2020-Oct-01 10:48:00.0000,  1.358953235883918E-03,  3.523567674393128E-03,  2.795166631431784E+01,  1.701860685064995E+02,  2.177048495635951E+02,  2.459123436841106E+06,  7.951294144586154E+01,  4.080277313969266E+01,  4.090466344268053E+01,  3.528362554103398E-03,  3.533157433813668E-03,  4.527564864961200E+00,
2459134.908000000, A.D. 2020-Oct-12 09:47:31.2000,  5.883183261732696E-04,  3.520988067954996E-03,  2.795289236582844E+01,  1.701874782867970E+02,  1.916167947730730E+02,  2.459136663319106E+06,  7.969249582933107E+01,  2.201142394210208E+02,  2.200708265856343E+02,  3.523060749157947E-03,  3.525133430360899E-03,  4.517363852814620E+00,
2459145.866000000, A.D. 2020-Oct-23 08:47:02.4000,  4.199423280593265E-04,  3.517513072518472E-03,  2.795519142623424E+01,  1.701872316813789E+02,  1.235121190442366E+02,  2.459144845253968E+06,  7.983078882487661E+01,  8.148696093464244E+01,  8.153455627687082E+01,  3.518990845726646E-03,  3.520468618934821E-03,  4.509538303444874E+00,
2459156.824000000, A.D. 2020-Nov-03 07:46:33.6000,  9.652498712146784E-04,  3.520483171116770E-03,  2.795689308335492E+01,  1.701878900238982E+02,  1.463608068946022E+02,  2.459158683172456E+06,  7.966455042751865E+01,  2.118898621152268E+02,  2.118314882517578E+02,  3.523884600273360E-03,  3.527286029429949E-03,  4.518948491745264E+00,
2459167.782000000, A.D. 2020-Nov-14 06:46:04.8000,  1.854004036533782E-03,  3.521820367658439E-03,  2.795847704750880E+01,  1.701886086631658E+02,  1.564134148987313E+02,  2.459167844104154E+06,  7.951296135990192E+01,  3.550619148596564E+02,  3.550435847417876E+02,  3.528361964983871E-03,  3.534903562309304E-03,  4.527563731031487E+00,
2459178.740000000, A.D. 2020-Nov-25 05:45:36.0000,  1.397390555791748E-03,  3.516754187161161E-03,  2.795992315960774E+01,  1.701894017171923E+02,  1.699805745358799E+02,  2.459177050462547E+06,  7.973952628468197E+01,  1.347229161885934E+02,  1.348365510994435E+02,  3.521675343026070E-03,  3.526596498890979E-03,  4.514699506926419E+00,
2459189.698000000, A.D. 2020-Dec-06 04:45:07.2000,  1.104598266725717E-03,  3.515158459202153E-03,  2.796250570760899E+01,  1.701905878255732E+02,  2.046902134921001E+02,  2.459191034779452E+06,  7.982892596309031E+01,  2.532863320674641E+02,  2.531651500503377E+02,  3.519045590862349E-03,  3.522932722522544E-03,  4.509643536560287E+00,
2459200.656000000, A.D. 2020-Dec-17 03:44:38.4000,  7.951446929794429E-04,  3.522720625048577E-03,  2.796420470145397E+01,  1.701904324618316E+02,  2.016132536240648E+02,  2.459200032885441E+06,  7.960899229402612E+01,  4.960552209736591E+01,  4.967496148434078E+01,  3.525523926688855E-03,  3.528327228329133E-03,  4.522102210142087E+00,
2459211.614000000, A.D. 2020-Dec-28 02:44:09.6000,  7.057018322145879E-04,  3.525158636349775E-03,  2.796530107719126E+01,  1.701919231735854E+02,  1.040947998318445E+02,  2.459212363995245E+06,  7.953709814916586E+01,  3.003475546261609E+02,  3.002777367977139E+02,  3.527648104080232E-03,  3.530137571810690E-03,  4.526189770273577E+00,
2459222.572000000, A.D. 2021-Jan-08 01:43:40.8000,  8.691068603963388E-04,  3.517627856589514E-03,  2.796742177902176E+01,  1.701917744715803E+02,  1.239772215564803E+02,  2.459221648139270E+06,  7.977308175073362E+01,  7.369921752345307E+01,  7.379483547964153E+01,  3.520687710431963E-03,  3.523747564274412E-03,  4.512800459745174E+00,
2459233.530000000, A.D. 2021-Jan-19 00:43:12.0000,  1.578392809544130E-03,  3.513838580946141E-03,  2.796921289739844E+01,  1.701928682292734E+02,  1.561787017580736E+02,  2.459235600047306E+06,  7.981708677977204E+01,  1.947748545350922E+02,  1.947288165256213E+02,  3.519393566445374E-03,  3.524948551944608E-03,  4.510312447174336E+00,
