            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2459080.118000000, A.D. 2020-Aug-18 14:49:55.2000,  8.748769365112891E-03,  2.981139341322190E+01,  1.770223718873114E+00,  1.317826715660814E+02,  2.724329923916506E+02,  2.468154838990019E+06,  5.979487145769496E-03,  3.057378224887333E+02,  3.049188646275681E+02,  3.007450835055003E+01,  3.033762328787816E+01,  6.020583224343930E+04,
2459091.076000000, A.D. 2020-Aug-29 13:49:26.4000,  8.748637386577079E-03,  2.981139244271597E+01,  1.770223755803680E+00,  1.317826724796215E+02,  2.724336994068906E+02,  2.468154955994815E+06,  5.979488631955378E-03,  3.058026326095939E+02,  3.049843459766594E+02,  3.007450336725750E+01,  3.033761429179902E+01,  6.020581727944097E+04,
2459102.034000000, A.D. 2020-Sep-09 12:48:57.6000,  8.748506229616254E-03,  2.981139135895065E+01,  1.770223794468843E+00,  1.317826734383613E+02,  2.724344337346085E+02,  2.468155077474692E+06,  5.979490144783450E-03,  3.058674157627821E+02,  3.050498010533361E+02,  3.007449829463383E+01,  3.033760523031702E+01,  6.020580204719739E+04,
2459112.992000000, A.D. 2020-Sep-20 11:48:28.8000,  8.748375991171410E-03,  2.981139016208700E+01,  1.770223834841794E+00,  1.317826744418447E+02,  2.724351950638966E+02,  2.468155203377963E+06,  5.979491683328113E-03,  3.059321722665745E+02,  3.051152301680027E+02,  3.007449313578273E+01,  3.033759610947847E+01,  6.020578655602852E+04,
2459123.950000000, A.D. 2020-Oct-01 10:48:00.0000,  8.748246768457396E-03,  2.981138885238122E+01,  1.770223876894035E+00,  1.317826754895688E+02,  2.724359830586878E+02,  2.468155333648813E+06,  5.979493246632683E-03,  3.059969024641753E+02,  3.051806336562718E+02,  3.007448789391215E+01,  3.033758693544308E+01,  6.020577081556734E+04,
2459134.908000000, A.D. 2020-Oct-12 09:47:31.2000,  8.748118660697109E-03,  2.981138743014129E+01,  1.770223920598115E+00,  1.317826765810527E+02,  2.724367973635265E+02,  2.468155468228240E+06,  5.979494833706717E-03,  3.060616067180956E+02,  3.052460118731257E+02,  3.007448257234321E+01,  3.033757771454514E+01,  6.020575483578673E+04,
2459145.866000000, A.D. 2020-Oct-23 08:47:02.4000,  8.747991767060133E-03,  2.981138589579660E+01,  1.770223965921388E+00,  1.317826777156808E+02,  2.724376375917683E+02,  2.468155607052117E+06,  5.979496443523727E-03,  3.061262854217943E+02,  3.053113652048722E+02,  3.007447717451792E+01,  3.033756845323923E+01,  6.020573862702248E+04,
2459156.824000000, A.D. 2020-Nov-03 07:46:33.6000,  8.747866186909287E-03,  2.981138424987013E+01,  1.770224012827889E+00,  1.317826788927491E+02,  2.724385033321487E+02,  2.468155750052268E+06,  5.979498075027311E-03,  3.061909389931525E+02,  3.053766940625306E+02,  3.007447170397853E+01,  3.033755915808693E+01,  6.020572219991151E+04,
2459167.782000000, A.D. 2020-Nov-14 06:46:04.8000,  8.747742019666252E-03,  2.981138249297958E+01,  1.770224061284404E+00,  1.317826801116167E+02,  2.724393941486900E+02,  2.468155897156479E+06,  5.979499727132056E-03,  3.062555678744002E+02,  3.054419988817735E+02,  3.007446616436464E+01,  3.033754983574969E+01,  6.020570556538292E+04,
2459178.740000000, A.D. 2020-Nov-25 05:45:36.0000,  8.747619364773645E-03,  2.981138062583135E+01,  1.770224111250087E+00,  1.317826813714449E+02,  2.724403095826185E+02,  2.468156048288777E+06,  5.979501398725659E-03,  3.063201725304713E+02,  3.055072801212700E+02,  3.007446055940594E+01,  3.033754049298052E+01,  6.020568873463639E+04,
2459189.698000000, A.D. 2020-Dec-06 04:45:07.2000,  8.747498320686338E-03,  2.981137864924297E+01,  1.770224162685106E+00,  1.317826826714139E+02,  2.724412491493648E+02,  2.468156203368968E+06,  5.979503088671317E-03,  3.063847534516644E+02,  3.055725382654691E+02,  3.007445489291429E+01,  3.033753113658561E+01,  6.020567171911842E+04,
2459200.656000000, A.D. 2020-Dec-17 03:44:38.4000,  8.747378985905194E-03,  2.981137656409028E+01,  1.770224215548260E+00,  1.317826840106622E+02,  2.724422123493786E+02,  2.468156362314408E+06,  5.979504795814268E-03,  3.064493111430907E+02,  3.056377738138455E+02,  3.007444916876178E+01,  3.033752177343328E+01,  6.020565453045623E+04,
2459211.614000000, A.D. 2020-Dec-28 02:44:09.6000,  8.747261458566849E-03,  2.981137437135009E+01,  1.770224269796913E+00,  1.317826853882855E+02,  2.724431986578638E+02,  2.468156525038309E+06,  5.979506518972669E-03,  3.065138461347979E+02,  3.057029872911663E+02,  3.007444339091126E+01,  3.033751241047243E+01,  6.020563718054967E+04,
