            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2459058.202000000, A.D. 2020-Jul-27 16:50:52.8000,  3.607763655235115E-02,  1.327443643409462E-05,  1.128957972219792E+02,  2.274021612887134E+02,  6.430967435748188E+01,  2.459061175569267E+06,  6.053126932781594E+01,  1.800060778269017E+02,  1.800056582340222E+02,  1.377127135697538E-05,  1.426810627985614E-05,  5.947339350350764E+00,
2459069.160000000, A.D. 2020-Aug-07 15:50:24.0000,  3.603183656914101E-02,  1.327633108433595E-05,  1.128958158501637E+02,  2.274021962265039E+02,  3.219977425272272E+02,  2.459066186772756E+06,  6.052262553475676E+01,  1.799475191319586E+02,  1.799511378348439E+02,  1.377258252708696E-05,  1.426883396983796E-05,  5.948188744608580E+00,
2459080.118000000, A.D. 2020-Aug-18 14:49:55.2000,  3.591119082952996E-02,  1.327551585429661E-05,  1.128957830513363E+02,  2.274021793491079E+02,  2.197813208504389E+02,  2.459077148407680E+06,  6.053956402398256E+01,  1.797778243656874E+02,  1.797930948823066E+02,  1.377001343446695E-05,  1.426451101463728E-05,  5.946524488636673E+00,
2459091.076000000, A.D. 2020-Aug-29 13:49:26.4000,  3.588354903516845E-02,  1.327858937668545E-05,  1.128958132415216E+02,  2.274021848035434E+02,  1.168338120089730E+02,  2.459094044355531E+06,  6.052114884569814E+01,  1.803517130979878E+02,  1.803275571326095E+02,  1.377280655609290E-05,  1.426702373550036E-05,  5.948333877762944E+00,
2459102.034000000, A.D. 2020-Sep-09 12:48:57.6000,  3.631808546613242E-02,  1.326696216209926E-05,  1.128957810106136E+02,  2.274021978183415E+02,  1.484914134833584E+01,  2.459099062514377E+06,  6.055976234473493E+01,  1.799524631079002E+02,  1.799557658153808E+02,  1.376695148265441E-05,  1.426694080320955E-05,  5.944541161682720E+00,
2459112.992000000, A.D. 2020-Sep-20 11:48:28.8000,  3.577089322909744E-02,  1.328319562452414E-05,  1.128958034521446E+02,  2.274021777807940E+02,  2.727356606479124E+02,  2.459110021988995E+06,  6.050027348757235E+01,  1.796864780814171E+02,  1.797079463673398E+02,  1.377597453888123E-05,  1.426875345323831E-05,  5.950386324682471E+00,
2459123.950000000, A.D. 2020-Oct-01 10:48:00.0000,  3.595554698075256E-02,  1.327366543612089E-05,  1.128957873913474E+02,  2.274022114699461E+02,  1.697959095511173E+02,  2.459126918672271E+06,  6.054804494623289E+01,  1.802526979135997E+02,  1.802353090318857E+02,  1.376872756702213E-05,  1.426378969792338E-05,  5.945691563116243E+00,
2459134.908000000, A.D. 2020-Oct-12 09:47:31.2000,  3.610415398322848E-02,  1.327330677185911E-05,  1.128957861206778E+02,  2.274021792320281E+02,  6.759784367737733E+01,  2.459137880369657E+06,  6.053649890139018E+01,  1.800631475177995E+02,  1.800587849592779E+02,  1.377047823860853E-05,  1.426764970535796E-05,  5.946825576854310E+00,
2459145.866000000, A.D. 2020-Oct-23 08:47:02.4000,  3.606835311790575E-02,  1.327517410061825E-05,  1.128957977968855E+02,  2.274022160174792E+02,  3.253755402852769E+02,  2.459142893567429E+06,  6.052709843727011E+01,  1.799127187806906E+02,  1.799187428992744E+02,  1.377190399709123E-05,  1.426863389356422E-05,  5.947749178380022E+00,
2459156.824000000, A.D. 2020-Nov-03 07:46:33.6000,  3.587268516282957E-02,  1.327700004044501E-05,  1.128957698563197E+02,  2.274021928514746E+02,  2.231384263892548E+02,  2.459153854301264E+06,  6.053303942026646E+01,  1.797648906583697E+02,  1.797810335459007E+02,  1.377100289155000E-05,  1.426500574265499E-05,  5.947165439696590E+00,
2459167.782000000, A.D. 2020-Nov-14 06:46:04.8000,  3.588381673415314E-02,  1.327838776544658E-05,  1.128958038840971E+02,  2.274022086129883E+02,  1.201632858235270E+02,  2.459170750040622E+06,  6.052250202003013E+01,  1.803667554326848E+02,  1.803415661787864E+02,  1.377260126519957E-05,  1.426681476495255E-05,  5.948200883711925E+00,
2459178.740000000, A.D. 2020-Nov-25 05:45:36.0000,  3.632088859230215E-02,  1.326684515162781E-05,  1.128957618834748E+02,  2.274022208649659E+02,  1.818361958587299E+01,  2.459175768385238E+06,  6.056029929624955E+01,  1.799618793962553E+02,  1.799645280864852E+02,  1.376687010705070E-05,  1.426689506247358E-05,  5.944488455034675E+00,
2459189.698000000, A.D. 2020-Dec-06 04:45:07.2000,  3.579765668393465E-02,  1.328243481896353E-05,  1.128957913771970E+02,  2.274021953517925E+02,  2.760749034633636E+02,  2.459186728036095E+06,  6.050295256475728E+01,  1.796915852274664E+02,  1.797127189284595E+02,  1.377556786813320E-05,  1.426870091730287E-05,  5.950122840942122E+00,
2459200.656000000, A.D. 2020-Dec-17 03:44:38.4000,  3.594041756203004E-02,  1.327412369396706E-05,  1.128957727079526E+02,  2.274022415679072E+02,  1.731867981489712E+02,  2.459203625542698E+06,  6.054633482092111E+01,  1.802050735150387E+02,  1.801909674754976E+02,  1.376898683004497E-05,  1.426384996612288E-05,  5.945859498593563E+00,
2459211.614000000, A.D. 2020-Dec-28 02:44:09.6000,  3.605921064072075E-02,  1.327477646241912E-05,  1.128957631213480E+02,  2.274021988780776E+02,  7.090220754321687E+01,  2.459214585986625E+06,  6.053067918960645E+01,  1.801036310643271E+02,  1.800964802208366E+02,  1.377136086464680E-05,  1.426794526687448E-05,  5.947397333380898E+00,
