            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2459222.572000000, A.D. 2021-Jan-08 01:43:40.8000,  1.476362021049526E-02,  6.176894527342653E-05,  2.771192264401555E+01,  8.373442738387197E+01,  8.414190682215045E+01,  2.459222681144200E+06,  1.127896961222063E+03,  2.368965886700508E+02,  2.354936894950044E+02,  6.269454370597179E-05,  6.362014213851705E-05,  3.191780919508324E-01,
2459233.530000000, A.D. 2021-Jan-19 00:43:12.0000,  1.536349112852532E-02,  6.172666653529350E-05,  2.774154718931498E+01,  8.355516863391242E+01,  9.046414747014389E+01,  2.459233529451454E+06,  1.128024964970562E+03,  6.187734569270555E-01,  6.381580820691042E-01,  6.268980073269937E-05,  6.365293493010522E-05,  3.191418729011860E-01,
2459244.488000000, A.D. 2021-Jan-29 23:42:43.2000,  1.479934960200810E-02,  6.176119578182912E-05,  2.776427180174104E+01,  8.337146096821600E+01,  9.647885645045679E+01,  2.459244377502805E+06,  1.128047886926827E+03,  1.246461271747188E+02,  1.260266329219069E+02,  6.268895149112968E-05,  6.361670720043022E-05,  3.191353879317642E-01,
2459255.446000000, A.D. 2021-Feb-09 22:42:14.4000,  1.485664082963489E-02,  6.176342678499500E-05,  2.777993138445375E+01,  8.318214634224651E+01,  9.879605723804239E+01,  2.459255541417430E+06,  1.127888376556810E+03,  2.523797901791182E+02,  2.507665019249888E+02,  6.269486182905283E-05,  6.362629687311067E-05,  3.191805213021160E-01,
2459266.404000000, A.D. 2021-Feb-20 21:41:45.6000,  1.532285739851322E-02,  6.172762663486215E-05,  2.778772506380768E+01,  8.299272380227706E+01,  1.056596884317442E+02,  2.459266390198629E+06,  1.128068473113642E+03,  1.556889189108655E+01,  1.604900818046657E+01,  6.268818881260882E-05,  6.364875099035550E-05,  3.191295640116109E-01,
2459277.362000000, A.D. 2021-Mar-03 20:41:16.8000,  1.470632369243879E-02,  6.176937937152497E-05,  2.778830966484145E+01,  8.280333040983243E+01,  1.112181576650670E+02,  2.459277237833625E+06,  1.127983461251989E+03,  1.400576175966178E+02,  1.411244510770924E+02,  6.269133848804236E-05,  6.361329760455976E-05,  3.191536156039230E-01,
2459288.320000000, A.D. 2021-Mar-14 19:40:48.0000,  1.497570618502877E-02,  6.175556737632826E-05,  2.778256417093918E+01,  8.261250850770375E+01,  1.136189260629824E+02,  2.459288401824564E+06,  1.127899187509811E+03,  2.677101404520600E+02,  2.659969581399444E+02,  6.269446120678983E-05,  6.363335503725141E-05,  3.191774619457012E-01,
2459299.278000000, A.D. 2021-Mar-25 18:40:19.2000,  1.529197661590552E-02,  6.172918687749952E-05,  2.776866417674848E+01,  8.242325465903279E+01,  1.208204236909704E+02,  2.459299250909105E+06,  1.128078769453442E+03,  3.056066280129511E+01,  3.146649890989540E+01,  6.268780736177823E-05,  6.364642784605693E-05,  3.191266512128592E-01,
2459310.236000000, A.D. 2021-Apr-05 17:39:50.4000,  1.462851673024741E-02,  6.177681911856234E-05,  2.774728404078065E+01,  8.223754380584386E+01,  1.258122753535463E+02,  2.459310098033844E+06,  1.127913294679700E+03,  1.556138619709186E+02,  1.562946202877570E+02,  6.269393844600482E-05,  6.361105777344729E-05,  3.191734698917891E-01,
2459321.194000000, A.D. 2021-Apr-16 16:39:21.6000,  1.510251893318528E-02,  6.174653521291660E-05,  2.772005037219377E+01,  8.205589335892738E+01,  1.285651355886614E+02,  2.459321262349316E+06,  1.127928826287414E+03,  2.829068364758773E+02,  2.812130449652236E+02,  6.269336291329976E-05,  6.364019061368291E-05,  3.191690748652488E-01,
2459332.152000000, A.D. 2021-Apr-27 15:38:52.8000,  1.526359593446421E-02,  6.173165552711941E-05,  2.768548786840500E+01,  8.187809640464998E+01,  1.359254978246222E+02,  2.459332111587165E+06,  1.128059868975784E+03,  4.558809703427951E+01,  4.685430756458870E+01,  6.268850757650174E-05,  6.364535962588406E-05,  3.191319981330956E-01,
2459343.110000000, A.D. 2021-May-08 14:38:24.0000,  1.458733735685265E-02,  6.178131107193587E-05,  2.764395435491255E+01,  8.170629545380791E+01,  1.402026181581225E+02,  2.459342958079355E+06,  1.127860983064249E+03,  1.713453675229999E+02,  1.715924466279182E+02,  6.269587698033171E-05,  6.361044288872753E-05,  3.191882735600335E-01,
2459354.068000000, A.D. 2021-May-19 13:37:55.2000,  1.521808434711170E-02,  6.173769695537095E-05,  2.759664750489589E+01,  8.154318186481194E+01,  1.435613555713505E+02,  2.459354122951534E+06,  1.127972484006202E+03,  2.980161816995023E+02,  2.964629879558136E+02,  6.269174522202740E-05,  6.364579348868386E-05,  3.191567215552935E-01,
2459365.026000000, A.D. 2021-May-30 12:37:26.4000,  1.522360064242514E-02,  6.173554860564085E-05,  2.754320824378166E+01,  8.138734108540302E+01,  1.509295295915515E+02,  2.459364972215345E+06,  1.128021885328117E+03,  6.067026799966488E+01,  6.220526691175044E+01,  6.268991483337176E-05,  6.364428106110267E-05,  3.191427441988715E-01,
2459375.984000000, A.D. 2021-Jun-10 11:36:57.6000,  1.459925713226218E-02,  6.178118100665149E-05,  2.748419431732992E+01,  8.124029903896620E+01,  1.544107501099559E+02,  2.459376137209702E+06,  1.127844080425817E+03,  1.872033447648039E+02,  1.869973048792487E+02,  6.269650338080156E-05,  6.361182575495161E-05,  3.191930571325799E-01,
2459386.942000000, A.D. 2021-Jun-21 10:36:28.8000,  1.530830896235265E-02,  6.173025675344538E-05,  2.741987375871708E+01,  8.110466954487445E+01,  1.585224351775273E+02,  2.459386983580466E+06,  1.128021378099598E+03,  3.130963450561745E+02,  3.117985675852553E+02,  6.268993362622499E-05,  6.364961049900462E-05,  3.191428877052844E-01,
2459397.900000000, A.D. 2021-Jul-02 09:36:00.0000,  1.516022428806823E-02,  6.174116369627057E-05,  2.735052985181923E+01,  8.097958805585185E+01,  1.657679329575004E+02,  2.459397832759049E+06,  1.127976885298320E+03,  7.584623801728038E+01,  7.753832892355315E+01,  6.269158214252509E-05,  6.364200058877962E-05,  3.191554762266156E-01,
2459408.858000000, A.D. 2021-Jul-13 08:35:31.2000,  1.466256082607871E-02,  6.177646188867267E-05,  2.727718036719212E+01,  8.086696187525146E+01,  1.685264789787996E+02,  2.459408997136531E+06,  1.127864624867988E+03,  2.030728284347533E+02,  2.024252943208683E+02,  6.269574201957076E-05,  6.361502215046884E-05,  3.191872429212297E-01,
2459419.816000000, A.D. 2021-Jul-24 07:35:02.4000,  1.536793379357590E-02,  6.172497095214665E-05,  2.719991830196860E+01,  8.076768880349401E+01,  1.733752850517763E+02,  2.459419844193764E+06,  1.128063810755596E+03,  3.281956348865612E+02,  3.272521828997956E+02,  6.268836154195110E-05,  6.365175213175556E-05,  3.191308829939912E-01,
2459430.774000000, A.D. 2021-Aug-04 06:34:33.6000,  1.507020782014624E-02,  6.174831826871713E-05,  2.711899463828623E+01,  8.068093561281624E+01,  1.803772240738416E+02,  2.459430693183564E+06,  1.127935474493043E+03,  9.115572496275972E+01,  9.288137556762260E+01,  6.269311656423277E-05,  6.363791485974842E-05,  3.191671936391610E-01,
2459441.732000000, A.D. 2021-Aug-15 05:34:04.8000,  1.475963804404678E-02,  6.176845151103107E-05,  2.703528722243453E+01,  8.060974619261029E+01,  1.826319933053553E+02,  2.459441857142289E+06,  1.127917323716642E+03,  2.188498442183311E+02,  2.178039985142307E+02,  6.269378914644234E-05,  6.361912678185363E-05,  3.191723297712555E-01,
2459452.690000000, A.D. 2021-Aug-26 04:33:36.0000,  1.540155362571987E-02,  6.172207747665711E-05,  2.694953444334825E+01,  8.055432245934719E+01,  1.880812774347754E+02,  2.459452704775241E+06,  1.128085356171594E+03,  3.433322670936445E+02,  3.428165629216734E+02,  6.268756334518366E-05,  6.365304921371021E-05,  3.191247878810688E-01,
2459463.648000000, A.D. 2021-Sep-06 03:33:07.2000,  1.496046609993109E-02,  6.175626280358602E-05,  2.686216046281345E+01,  8.051257730426700E+01,  1.947140564766892E+02,  2.459463553468843E+06,  1.127906311510182E+03,  1.066222889943811E+02,  1.082560280600143E+02,  6.269419721569380E-05,  6.363213162780158E-05,  3.191754459800716E-01,
2459474.606000000, A.D. 2021-Sep-17 02:32:38.4000,  1.486219091988095E-02,  6.175964976430573E-05,  2.677323432981211E+01,  8.048745873927976E+01,  1.967552089703651E+02,  2.459474717270629E+06,  1.127982312864206E+03,  2.344886988587828E+02,  2.331173259117176E+02,  6.269138103832837E-05,  6.362311231235100E-05,  3.191539405311040E-01,
2459485.564000000, A.D. 2021-Sep-28 01:32:09.6000,  1.541813706479379E-02,  6.172146593987834E-05,  2.668383755830246E+01,  8.048032907069209E+01,  2.026528233476041E+02,  2.459485565348380E+06,  1.128073621277377E+03,  3.584789280668539E+02,  3.584311088401857E+02,  6.268799808669657E-05,  6.365453023351482E-05,  3.191281076073325E-01,
2459496.522000000, A.D. 2021-Oct-09 00:31:40.8000,  1.484546839364361E-02,  6.176392926862804E-05,  2.659522443573191E+01,  8.048830901131657E+01,  2.087731068306279E+02,  2.459496413622907E+06,  1.127893799358527E+03,  1.222378513664479E+02,  1.236625105856166E+02,  6.269466087509954E-05,  6.362539248157103E-05,  3.191789867137709E-01,
2459507.480000000, A.D. 2021-Oct-19 23:31:12.0000,  1.495060825636147E-02,  6.175192559575758E-05,  2.650690647215128E+01,  8.051228559209888E+01,  2.108786417563583E+02,  2.459507577518567E+06,  1.128042076240385E+03,  2.499949528479117E+02,  2.483955473673208E+02,  6.268916677005437E-05,  6.362640794435118E-05,  3.191370318382380E-01,
2459518.438000000, A.D. 2021-Oct-30 22:30:43.2000,  1.542103828010850E-02,  6.172305865573179E-05,  2.641936785736728E+01,  8.055453844212454E+01,  2.171428359620142E+02,  2.459518425966535E+06,  1.128024972100678E+03,  1.357404931743536E+01,  1.399670568118720E+01,  6.268980046852935E-05,  6.365654228132691E-05,  3.191418708839269E-01,
2459529.396000000, A.D. 2021-Nov-10 21:30:14.4000,  1.474287359626521E-02,  6.177015874445551E-05,  2.633462224532873E+01,  8.061329362125234E+01,  2.225874726005288E+02,  2.459529273680983E+06,  1.127899350355707E+03,  1.379635402421069E+02,  1.390794211609557E+02,  6.269445517224666E-05,  6.361875160003781E-05,  3.191774158629191E-01,
2459540.354000000, A.D. 2021-Nov-21 20:29:45.6000,  1.502007089428440E-02,  6.174614562503327E-05,  2.625249170570441E+01,  8.068721449226285E+01,  2.249624832495326E+02,  2.459540437854843E+06,  1.128081137908866E+03,  2.654049331520079E+02,  2.636921239664456E+02,  6.268771961789508E-05,  6.362929361075688E-05,  3.191259811925720E-01,
2459551.312000000, A.D. 2021-Dec-02 19:29:16.8000,  1.540148185976222E-02,  6.172702336631537E-05,  2.617265735832407E+01,  8.077733567108596E+01,  2.315990146343588E+02,  2.459551286671787E+06,  1.127949900124197E+03,  2.856895533303982E+01,  2.942742230761072E+01,  6.269258203121073E-05,  6.365814069610610E-05,  3.191631117307255E-01,
2459562.270000000, A.D. 2021-Dec-13 18:28:48.0000,  1.466857242729792E-02,  6.177396275592539E-05,  2.609698207196696E+01,  8.088372007391780E+01,  2.362166622692367E+02,  2.459562133694279E+06,  1.127922746680068E+03,  1.537423228964317E+02,  1.544739076830618E+02,  6.269358819509230E-05,  6.361321363425920E-05,  3.191707952159182E-01,
2459573.228000000, A.D. 2021-Dec-24 17:28:19.2000,  1.507921879077940E-02,  6.174211044365665E-05,  2.602589187236201E+01,  8.100456543300409E+01,  2.389840811811941E+02,  2.459573298253649E+06,  1.128090108945891E+03,  2.807475532364134E+02,  2.790441767900618E+02,  6.268738727174968E-05,  6.363266409984271E-05,  3.191234433713730E-01,
2459584.186000000, A.D. 2022-Jan-04 16:27:50.4000,  1.534415896319409E-02,  6.173344506453022E-05,  2.595906610620469E+01,  8.113852992357835E+01,  2.460112834867547E+02,  2.459584147447458E+06,  1.127872394792256E+03,  4.348234764307745E+01,  4.470926873412655E+01,  6.269545407817538E-05,  6.365746309182052E-05,  3.191850440371040E-01,
2459595.144000000, A.D. 2022-Jan-15 15:27:21.6000,  1.463256102107397E-02,  6.177486687083408E-05,  2.589757654480576E+01,  8.128614085765369E+01,  2.497389562917635E+02,  2.459594993722224E+06,  1.127959818310846E+03,  1.695072923774678E+02,  1.698072493750018E+02,  6.269221452542360E-05,  6.360956218001315E-05,  3.191603053193073E-01,
2459606.102000000, A.D. 2022-Jan-26 14:26:52.8000,  1.514260413386215E-02,  6.173889266852193E-05,  2.584181137593497E+01,  8.144624142773330E+01,  2.529611405509775E+02,  2.459606158715350E+06,  1.128069397209961E+03,  2.960211499344951E+02,  2.944489753782953E+02,  6.268815457716633E-05,  6.363741648581072E-05,  3.191293025858011E-01,
