            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2459145.866000000, A.D. 2020-Oct-23 08:47:02.4000,  6.502984419272072E-04,  7.860320483071282E-04,  2.908734094525436E+01,  4.875154532623802E+01,  3.020102087258795E+02,  2.459145477600147E+06,  3.206873855347348E+02,  1.245549334097825E+02,  1.246162774408902E+02,  7.865435363433201E-04,  7.870550243795120E-04,  1.122588590130269E+00,
2459156.824000000, A.D. 2020-Nov-03 07:46:33.6000,  5.320467842089894E-04,  7.853471802456897E-04,  2.908756240663107E+01,  4.876330396792653E+01,  1.609975775212691E+02,  2.459157382644901E+06,  3.211639597303089E+02,  1.805833915376594E+02,  1.805827711777681E+02,  7.857652441169653E-04,  7.861833079882407E-04,  1.120922784431674E+00,
2459167.782000000, A.D. 2020-Nov-14 06:46:04.8000,  7.568950292364693E-04,  7.865598419678132E-04,  2.909629169833690E+01,  4.874381106321995E+01,  2.488209559856376E+02,  2.459167757933029E+06,  3.203134038564638E+02,  7.708973252476821E+00,  7.720618759957694E+00,  7.871556361560552E-04,  7.877514303442974E-04,  1.123899267610169E+00,
2459178.740000000, A.D. 2020-Nov-25 05:45:36.0000,  2.585219139452291E-04,  7.857945563548017E-04,  2.908413464427230E+01,  4.872832898243019E+01,  9.877420946881222E+01,  2.459178513637066E+06,  3.210214626216739E+02,  7.266736004042826E+01,  7.269564198255821E+01,  7.859977539985221E-04,  7.862009516422426E-04,  1.121420346976185E+00,
2459189.698000000, A.D. 2020-Dec-06 04:45:07.2000,  1.124458536761025E-03,  7.853474908196609E-04,  2.908451919470905E+01,  4.874507667306156E+01,  1.995934088725053E+02,  2.459190050554881E+06,  3.208782678256751E+02,  2.468728005203260E+02,  2.467543678223613E+02,  7.862315756267455E-04,  7.871156604338299E-04,  1.121920790832674E+00,
2459200.656000000, A.D. 2020-Dec-17 03:44:38.4000,  6.672987184092517E-04,  7.866096263809820E-04,  2.908420063943922E+01,  4.873101593403440E+01,  2.744223339388470E+02,  2.459200384601242E+06,  3.203260732843430E+02,  8.693609845932943E+01,  8.701245933570013E+01,  7.871348804779402E-04,  7.876601345748985E-04,  1.123854815528675E+00,
2459211.614000000, A.D. 2020-Dec-28 02:44:09.6000,  5.671038456325847E-04,  7.853001819916469E-04,  2.907251894335848E+01,  4.874718574873885E+01,  1.882510683422763E+02,  2.459211339849089E+06,  3.211758924965999E+02,  8.805066352187973E+01,  8.811561278063755E+01,  7.857457814459943E-04,  7.861913809003419E-04,  1.120881138374391E+00,
2459222.572000000, A.D. 2021-Jan-08 01:43:40.8000,  1.094884492339898E-03,  7.859670419469835E-04,  2.908330205415059E+01,  4.876495123553214E+01,  2.483459814114318E+02,  2.459222750007964E+06,  3.205131702269571E+02,  3.029461031737025E+02,  3.028407371761614E+02,  7.868285283007506E-04,  7.876900146545179E-04,  1.123198774468712E+00,
2459233.530000000, A.D. 2021-Jan-19 00:43:12.0000,  3.133478762204061E-04,  7.864726992579211E-04,  2.908435531434028E+01,  4.875352459645541E+01,  3.590240260880117E+02,  2.459233195791745E+06,  3.205799740456887E+02,  1.071404735910285E+02,  1.071747818422607E+02,  7.867192160534535E-04,  7.869657328489859E-04,  1.122964717530026E+00,
2459244.488000000, A.D. 2021-Jan-29 23:42:43.2000,  7.114273391049141E-04,  7.851894176931418E-04,  2.908477990619231E+01,  4.877408240177090E+01,  1.952405777030167E+02,  2.459245030006859E+06,  3.211742743597388E+02,  1.859213405520843E+02,  1.859129377675401E+02,  7.857484206012160E-04,  7.863074235092903E-04,  1.120886785585989E+00,
2459255.446000000, A.D. 2021-Feb-09 22:42:14.4000,  5.750246756869760E-04,  7.866862313118792E-04,  2.909938969899260E+01,  4.876266062078969E+01,  2.786410085720002E+02,  2.459255391439165E+06,  3.203236467881821E+02,  1.747712584545656E+01,  1.749692873054592E+01,  7.871388555770280E-04,  7.875914798421769E-04,  1.123863328885158E+00,
